"filename", "language", "Python", "YAML", "HTML", "XML", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, -17, 0, 0, -5, -22
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\css\vendor\select2\select2.css", "CSS", 0, 0, 0, 0, 0, 0, -425, 0, -57, -482
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, 0, 0, 0, 0, 0, -1, 0, -1, -2
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\css\widgets.css", "CSS", 0, 0, 0, 0, 0, 0, -492, -9, -103, -604
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\calendar-icons.svg", "XML", 0, 0, 0, -14, 0, 0, 0, 0, -1, -15
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-addlink.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-alert.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-calendar.svg", "XML", 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-changelink.svg", "XML", 0, 0, 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\rylun\source\repos\josh-flatt\cs350\Application\static\admin\img\icon-clock.svg", "XML", 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
